Region,Year,Renewables
Colombia,1965,11.788209
Colombia,1966,12.017394
Colombia,1967,12.580107
Colombia,1968,13.300462
Colombia,1969,14.526139
Colombia,1970,14.817516
Colombia,1971,15.987799
Colombia,1972,15.767954
Colombia,1973,17.170427
Colombia,1974,17.39551
Colombia,1975,19.235607
Colombia,1976,19.407125
Colombia,1977,19.36701
Colombia,1978,20.862885
Colombia,1979,21.545105
Colombia,1980,23.044971
Colombia,1981,22.218885
Colombia,1982,22.697723
Colombia,1983,21.790188
Colombia,1984,23.639833
Colombia,1985,24.441961
Colombia,1986,27.276325
Colombia,1987,27.310854
Colombia,1988,28.748077
Colombia,1989,29.793999
Colombia,1990,32.640934
Colombia,1991,31.6998
Colombia,1992,24.605455
Colombia,1993,27.847397
Colombia,1994,29.809082
Colombia,1995,29.331577
Colombia,1996,31.475914
Colombia,1997,27.334064
Colombia,1998,26.691463
Colombia,1999,31.378248
Colombia,2000,29.556067
Colombia,2001,30.604485
Colombia,2002,32.692554
Colombia,2003,33.389133
Colombia,2004,34.505455
Colombia,2005,35.05353
Colombia,2006,34.14272
Colombia,2007,35.182762
Colombia,2008,33.94141
Colombia,2009,31.377745
Colombia,2010,30.092037
Colombia,2011,34.515675
Colombia,2012,31.746134
Colombia,2013,29.385107
Colombia,2014,28.364685
Colombia,2015,28.021618
Colombia,2016,27.708813
Colombia,2017,32.82906
Colombia,2018,31.99955
Colombia,2019,29.890343
Colombia,2020,30.772787
Colombia,2021,33.02041
South America,1965,11.023402
South America,1966,11.543426
South America,1967,11.78056
South America,1968,11.697652
South America,1969,12.044194
South America,1970,13.621983
South America,1971,14.387364
South America,1972,15.238756
South America,1973,15.491369
South America,1974,16.686647
South America,1975,17.77702
South America,1976,18.434004
South America,1977,19.282972
South America,1978,20.008823
South America,1979,21.088923
South America,1980,22.763828
South America,1981,23.091265
South America,1982,24.36981
South America,1983,25.906075
South America,1984,27.275818
South America,1985,28.324965
South America,1986,28.488626
South America,1987,29.28631
South America,1988,29.289913
South America,1989,29.606066
South America,1990,30.777649
South America,1991,31.83688
South America,1992,30.95373
South America,1993,31.998835
South America,1994,31.95983
South America,1995,31.717999
South America,1996,31.687614
South America,1997,31.808338
South America,1998,31.411379
South America,1999,31.232824
South America,2000,32.47872
South America,2001,30.829071
South America,2002,31.812138
South America,2003,32.69813
South America,2004,31.918701
South America,2005,32.54806
South America,2006,32.51109
South America,2007,32.020576
South America,2008,31.325287
South America,2009,32.41624
South America,2010,30.95347
South America,2011,31.315365
South America,2012,29.988754
South America,2013,28.540737
South America,2014,27.958807
South America,2015,28.051346
South America,2016,29.587042
South America,2017,30.41578
South America,2018,31.617079
South America,2019,32.166042
South America,2020,34.7553
South America,2021,32.356785
